crank_deg,WaX_dim_N,WaY_dim_N
594.000,4165.138,8386.949
595.000,4089.031,8492.017
596.000,4010.749,8594.499
597.000,3930.269,8694.363
598.000,3847.572,8791.578
599.000,3762.640,8886.115
600.000,3675.455,8977.946
601.000,3586.002,9067.042
602.000,3494.268,9153.375
603.000,3400.240,9236.921
604.000,3303.906,9317.653
605.000,3205.258,9395.547
606.000,3104.290,9470.579
607.000,3000.994,9542.725
608.000,2895.367,9611.966
609.000,2787.408,9678.278
610.000,2677.117,9741.642
611.000,2564.495,9802.039
612.000,2449.547,9859.450
613.000,2332.279,9913.857
614.000,2212.699,9965.245
615.000,2090.816,10013.597
616.000,1966.645,10058.899
617.000,1840.198,10101.137
618.000,1711.493,10140.299
619.000,1580.549,10176.371
620.000,1447.386,10209.343
621.000,1312.028,10239.206
622.000,1174.501,10265.949
623.000,1034.832,10289.566
624.000,893.052,10310.048
625.000,749.192,10327.390
626.000,603.288,10341.586
627.000,455.377,10352.631
628.000,305.497,10360.524
629.000,153.690,10365.260
630.000,0.000,10366.839
631.000,-155.527,10365.260
632.000,-312.844,10360.524
633.000,-471.898,10352.631
634.000,-632.639,10341.586
635.000,-795.011,10327.390
636.000,-958.957,10310.048
637.000,-1124.418,10289.566
638.000,-1291.333,10265.949
639.000,-1459.638,10239.206
640.000,-1629.269,10209.343
641.000,-1800.157,10176.371
642.000,-1972.234,10140.299
643.000,-2145.428,10101.137
644.000,-2319.667,10058.899
645.000,-2494.874,10013.597
646.000,-2670.975,9965.245
647.000,-2847.889,9913.857
648.000,-3025.538,9859.450
649.000,-3203.840,9802.039
650.000,-3382.710,9741.642
651.000,-3562.065,9678.278
652.000,-3741.818,9611.966
653.000,-3921.882,9542.725
654.000,-4102.168,9470.579
655.000,-4282.586,9395.547
656.000,-4463.044,9317.653
657.000,-4643.450,9236.921
658.000,-4823.711,9153.375
659.000,-5003.733,9067.042
660.000,-5183.419,8977.946
661.000,-5362.676,8886.115
662.000,-5541.405,8791.578
663.000,-5719.509,8694.363
664.000,-5896.891,8594.499
665.000,-6073.452,8492.017
666.000,-6249.094,8386.949
667.000,-6423.717,8279.326
668.000,-6597.223,8169.180
669.000,-6769.511,8056.547
670.000,-6940.484,7941.459
671.000,-7110.041,7823.953
672.000,-7278.083,7704.063
673.000,-7444.512,7581.826
674.000,-7609.228,7457.280
675.000,-7772.135,7330.462
676.000,-7933.133,7201.411
677.000,-8092.125,7070.167
678.000,-8249.016,6936.769
679.000,-8403.710,6801.258
680.000,-8556.111,6663.676
681.000,-8706.126,6524.063
682.000,-8853.662,6382.463
683.000,-8998.627,6238.919
684.000,-9140.931,6093.475
685.000,-9280.484,5946.174
686.000,-9417.198,5797.063
687.000,-9550.986,5646.185
688.000,-9681.764,5493.588
689.000,-9809.448,5339.317
690.000,-9933.957,5183.419
691.000,-10055.210,5025.943
692.000,-10173.129,4866.936
693.000,-10287.639,4706.446
694.000,-10398.664,4544.523
695.000,-10506.132,4381.215
696.000,-10609.974,4216.573
697.000,-10710.121,4050.647
698.000,-10806.509,3883.486
699.000,-10899.072,3715.143
700.000,-10987.751,3545.668
701.000,-11072.487,3375.113
702.000,-11153.224,3203.529
703.000,-11229.907,3030.970
704.000,-11302.487,2857.488
705.000,-11370.916,2683.135
706.000,-11435.146,2507.965
707.000,-11495.136,2332.031
708.000,-11550.845,2155.387
709.000,-11602.237,1978.086
710.000,-11649.276,1800.183
711.000,-11691.931,1621.731
712.000,-11730.173,1442.785
713.000,-11763.978,1263.400
714.000,-11793.321,1083.630
715.000,-11818.183,903.530
716.000,-11838.548,723.154
717.000,-11854.402,542.558
718.000,-11865.733,361.797
719.000,-11872.535,180.926
